"Nom","Numero","Escuderia","Pais","Podiums","Puntos Totales","GP Completados","Titulos Mundiales","Mejor Posición","Mejor Classificación","Lugar Nacimiento","Nacionalidad"
"Lewis Hamilton","44","Mercedes","United Kingdom","182","4165.5","288","7","1 (x103)","1","07/01/1985","Stevenage, England"
"George Russell","63","Mercedes","United Kingdom","1","19","60","N/A","2 (x1)","2","15/02/1998","King's Lynn, England"
"Max Verstappen","1","Red Bull Racing","Netherlands","60","1557.5","141","1","1 (x20)","1","30/09/1997","Hasselt, Belgium"
"Sergio Perez","11","Red Bull Racing","Mexico","15","896","214","N/A","1 (x2)","2","26/01/1990","Guadalajara, Mexico"
"Charles Leclerc","16","Ferrari","Monaco","13","560","81","N/A","1 (x2)","1","16/10/1997","Monte Carlo, Monaco"
"Carlos Sainz","55","Ferrari","Spain","6","536.5","141","N/A","2 (x2)","2","01/09/1994","Madrid, Spain"
"Lando Norris","4","McLaren","United Kingdom","5","306","60","N/A","2 (x1)","1","13/11/1999","Bristol, England"
"Daniel Ricciardo","3","McLaren","Australia","32","1274","210","N/A","1 (x8)","1","01/07/1989","Perth, Australia"
"Esteban Ocon","31","Alpine","France","2","272","89","N/A","1 (x1)","3","17/09/1996","Évreux, Normandy"
"Fernando Alonso","14","Alpine","Spain","98","1980","336","2","1 (x32)","1","29/07/1981","Oviedo, Spain"
"Pierre Gasly","10","AlphaTauri","France","3","309","86","N/A","1 (x1)","2","07/02/1996","Rouen, France"
"Yuki Tsunoda","22","AlphaTauri","Japan","N/A","32","22","N/A","4 (x1)","7","11/05/2000","Sagamihara, Japan"
"Lance Stroll","18","Aston Martin","Canada","3","176","100","N/A","3 (x3)","1","29/10/1998","Montreal, Canada"
"Sebastian Vettel","5","Aston Martin","Germany","122","3061","280","4","1 (x53)","1","03/07/1987","Heppenheim, Germany"
"Alexander Albon","23","Williams","Thailand","2","197","38","N/A","3 (x2)","4","23/03/1996","London, England"
"Nicholas Latifi","6","Williams","Canada","N/A","7","39","N/A","7 (x1)","10","29/06/1995","Montreal, Canada"
"Valtteri Bottas","77","Alfa Romeo","Finland","67","1738","178","N/A","1 (x10)","1","28/08/1989","Nastola, Finland"
"Guanyu Zhou","24","Alfa Romeo","China","N/A","0","N/A","N/A","0 (x0)","N/A","30/05/1999","Shanghai, China"
"Mick Schumacher","47","Haas F1 Team","Germany","N/A","0","22","N/A","12 (x1)","14","22/03/1999","Vufflens-le-Château, Switzerland"
"Nikita Mazepin","9","Haas F1 Team","Russian Automobile Federation","N/A","0","21","N/A","14 (x1)","15","02/03/1999","Moscow, Russia"
